csv_file,label
output_video1.mp4/flow_vectors.csv, 0
output_video2.mp4/flow_vectors.csv, 1
output_video3.mp4/flow_vectors.csv, 1
output_video4.mp4/flow_vectors.csv, 1
output_video5.mp4/flow_vectors.csv, 0
output_video6.mp4/flow_vectors.csv, 0
output_video7.mp4/flow_vectors.csv, 0
output_video8.mp4/flow_vectors.csv, 0
output_video9.mp4/flow_vectors.csv, 1
output_video10.mp4/flow_vectors.csv, 0
output_video11.mp4/flow_vectors.csv, 0
output_video12.mp4/flow_vectors.csv, 0
output_video13.mp4/flow_vectors.csv, 0
output_video14.mp4/flow_vectors.csv, 0
